MOSCAP CV measurement data file.
Measurement comments:

DC bias (V)	Capacitance (F)	Quality factor
-1,750000	3,129260E-10	13,527600
-1,700000	3,126270E-10	13,441000
-1,650000	3,122850E-10	13,355100
-1,600000	3,119400E-10	13,247800
-1,550000	3,115720E-10	13,133400
-1,500000	3,111900E-10	13,011300
-1,450000	3,107740E-10	12,870700
-1,400000	3,103370E-10	12,726800
-1,350000	3,098700E-10	12,563600
-1,300000	3,093630E-10	12,388300
-1,250000	3,087980E-10	12,198500
-1,200000	3,082190E-10	11,997500
-1,150000	3,075860E-10	11,785800
-1,100000	3,068920E-10	11,556400
-1,050000	3,061280E-10	11,317600
-1,000000	3,053300E-10	11,066400
-0,950000	3,044600E-10	10,807100
-0,900000	3,034870E-10	10,530700
-0,850000	3,024380E-10	10,244600
-0,800000	3,012820E-10	9,947100
-0,750000	3,000170E-10	9,637130
-0,700000	2,986400E-10	9,323960
-0,650000	2,971280E-10	8,999360
-0,600000	2,954510E-10	8,669460
-0,550000	2,935960E-10	8,332640
-0,500000	2,915620E-10	7,990300
-0,450000	2,892990E-10	7,649500
-0,400000	2,868130E-10	7,306410
-0,350000	2,841060E-10	6,969290
-0,300000	2,810920E-10	6,637400
-0,250000	2,777910E-10	6,307440
-0,200000	2,742110E-10	5,990170
-0,150000	2,702690E-10	5,679950
-0,100000	2,659680E-10	5,384490
-0,050000	2,613200E-10	5,099370
0,000000	2,563400E-10	4,833440
0,050000	2,509280E-10	4,579520
0,100000	2,451650E-10	4,343150
0,150000	2,389570E-10	4,121560
0,200000	2,323950E-10	3,917360
0,250000	2,254900E-10	3,731280
0,300000	2,182930E-10	3,563300
0,350000	2,108710E-10	3,413210
0,400000	2,033000E-10	3,281450
0,450000	1,956530E-10	3,167510
0,500000	1,879730E-10	3,070990
0,550000	1,803770E-10	2,991840
0,600000	1,729150E-10	2,929470
0,650000	1,656340E-10	2,883520
0,700000	1,585600E-10	2,853480
0,750000	1,519430E-10	2,840270
0,800000	1,452330E-10	2,844210
0,850000	1,393150E-10	2,861680
0,900000	1,328850E-10	2,908370
0,950000	1,277310E-10	2,961990
1,000000	1,225370E-10	3,037850
1,050000	1,183100E-10	3,127430
1,100000	1,142120E-10	3,235920
1,150000	1,104100E-10	3,365230
1,200000	1,068870E-10	3,516600
1,250000	1,036630E-10	3,689880
1,300000	1,006990E-10	3,887200
1,350000	9,797510E-11	4,111630
1,400000	9,552370E-11	4,356520
