MOSCAP CV measurement data file.
Measurement comments:


DC bias (V)	Capacitance (F)	Quality factor
-1,750000	3,112340E-10	13,362100
-1,700000	3,108320E-10	13,269600
-1,650000	3,104330E-10	13,147600
-1,600000	3,099890E-10	13,026000
-1,550000	3,095360E-10	12,885400
-1,500000	3,090510E-10	12,730700
-1,450000	3,085370E-10	12,566900
-1,400000	3,079980E-10	12,399900
-1,350000	3,074080E-10	12,203800
-1,300000	3,067880E-10	11,999900
-1,250000	3,061010E-10	11,777600
-1,200000	3,053480E-10	11,541100
-1,150000	3,045540E-10	11,281700
-1,100000	3,036830E-10	11,021000
-1,050000	3,027210E-10	10,742200
-1,000000	3,016430E-10	10,436700
-0,950000	3,004430E-10	10,118500
-0,900000	2,991330E-10	9,791820
-0,850000	2,976850E-10	9,447700
-0,800000	2,960910E-10	9,102670
-0,750000	2,942920E-10	8,741170
-0,700000	2,923380E-10	8,380370
-0,650000	2,901470E-10	8,009950
-0,600000	2,877330E-10	7,640310
-0,550000	2,850480E-10	7,269940
-0,500000	2,820600E-10	6,900700
-0,450000	2,787700E-10	6,540520
-0,400000	2,751390E-10	6,188170
-0,350000	2,711000E-10	5,841890
-0,300000	2,666070E-10	5,505510
-0,250000	2,616030E-10	5,182270
-0,200000	2,560240E-10	4,869370
-0,150000	2,501320E-10	4,584950
-0,100000	2,437470E-10	4,320290
-0,050000	2,369090E-10	4,076280
0,000000	2,295870E-10	3,853480
0,050000	2,222260E-10	3,660740
0,100000	2,142210E-10	3,483040
0,150000	2,058360E-10	3,324960
0,200000	1,973680E-10	3,191110
0,250000	1,888940E-10	3,080080
0,300000	1,804650E-10	2,990610
0,350000	1,722080E-10	2,922550
0,400000	1,642290E-10	2,876240
0,450000	1,566310E-10	2,850170
0,500000	1,493870E-10	2,845150
0,550000	1,425610E-10	2,860700
0,600000	1,362160E-10	2,896620
0,650000	1,302390E-10	2,959600
0,700000	1,248370E-10	3,039310
0,750000	1,199040E-10	3,141830
0,800000	1,153720E-10	3,268310
0,850000	1,111710E-10	3,423400
0,900000	1,076600E-10	3,587510
0,950000	1,044300E-10	3,779310
1,000000	1,012950E-10	4,011300
1,050000	9,851420E-11	4,267770
1,100000	9,596430E-11	4,557480
1,150000	9,363890E-11	4,882150
1,200000	9,149240E-11	5,245720
1,250000	8,951870E-11	5,650550
1,300000	8,769640E-11	6,100450
1,350000	8,600560E-11	6,596350
1,400000	8,443070E-11	7,145310
1,450000	8,295040E-11	7,755110
1,500000	8,156350E-11	8,423330
1,550000	8,025670E-11	9,152700
1,600000	7,900160E-11	9,964690
1,650000	7,781860E-11	10,845700
1,700000	7,667210E-11	11,824100
1,750000	7,555330E-11	12,909900
1,800000	7,449910E-11	14,060300
1,850000	7,349900E-11	15,316900
1,900000	7,250990E-11	16,691500
1,950000	7,160320E-11	18,087300
2,000000	7,066460E-11	19,719000
2,050000	6,980030E-11	21,337200
2,100000	6,891740E-11	23,217300
2,150000	6,810210E-11	25,094100
2,200000	6,727870E-11	27,151300
2,250000	6,646590E-11	29,321200
2,300000	6,567020E-11	31,621500
2,350000	6,490990E-11	33,927400
2,400000	6,415980E-11	36,343700
2,450000	6,343460E-11	38,734100
2,500000	6,273470E-11	41,199000
2,550000	6,203490E-11	43,679800
2,600000	6,135350E-11	46,140100
2,650000	6,069110E-11	48,578900
2,700000	6,005710E-11	50,859600
2,750000	5,944210E-11	53,188500
2,800000	5,883980E-11	55,433900
2,850000	5,825880E-11	57,623200
2,900000	5,770210E-11	59,695700
2,950000	5,715960E-11	61,484300
3,000000	5,663900E-11	63,265900
3,050000	5,613640E-11	64,898600
3,100000	5,565050E-11	66,529600
3,150000	5,518130E-11	67,961800
3,200000	5,472890E-11	69,190700
3,250000	5,428920E-11	70,467600
3,300000	5,386490E-11	71,572900
3,350000	5,345650E-11	72,572300
3,400000	5,306260E-11	73,457800
3,450000	5,267800E-11	74,134900
3,500000	5,230950E-11	75,221500
3,550000	5,195250E-11	75,716000
3,600000	5,160710E-11	76,539800
3,650000	5,127020E-11	77,089400
3,700000	5,094770E-11	77,833600
3,750000	5,063240E-11	78,380100
3,800000	5,032580E-11	79,033800
3,850000	5,002720E-11	79,380900
3,900000	4,973840E-11	80,140600
3,950000	4,945410E-11	80,726900
4,000000	4,917770E-11	80,769700
4,050000	4,890690E-11	81,213200
4,100000	4,864430E-11	81,751300
4,150000	4,838410E-11	81,860900
4,200000	4,812650E-11	82,140500
4,250000	4,787670E-11	82,540800
4,300000	4,763250E-11	82,873200
4,350000	4,739250E-11	83,146300
4,400000	4,715360E-11	83,689900
4,450000	4,692330E-11	83,878200
4,500000	4,669390E-11	84,085100
4,550000	4,646630E-11	84,606700
4,600000	4,623950E-11	84,520600
4,650000	4,601150E-11	84,379600
4,700000	4,577510E-11	84,338600
4,750000	4,556880E-11	86,433000
4,800000	4,528700E-11	85,222700
4,850000	4,502510E-11	85,098000
4,900000	4,476230E-11	84,976700
4,950000	4,448350E-11	84,908700
5,000000	4,419770E-11	85,158900
5,050000	4,390250E-11	85,262600
5,100000	4,359330E-11	85,570300
5,150000	4,327100E-11	85,971600
5,200000	4,294320E-11	86,373200
5,250000	4,258990E-11	87,334300
5,300000	4,223050E-11	87,696600
5,350000	4,187010E-11	88,497600
5,400000	4,148520E-11	89,236800
5,450000	4,109030E-11	90,021800
5,500000	4,069480E-11	91,472200
5,550000	4,029340E-11	92,179100
5,600000	3,988770E-11	93,027800
5,650000	3,949080E-11	94,166100
5,700000	3,909710E-11	95,305300
5,750000	3,870730E-11	96,102700
5,800000	3,832720E-11	97,246900
5,850000	3,795580E-11	98,038600
5,900000	3,759290E-11	99,561400
5,950000	3,724940E-11	100,297000
6,000000	3,691580E-11	101,107000
6,050000	3,659190E-11	101,690000
6,100000	3,628850E-11	102,689000
6,150000	3,598880E-11	103,135000
6,200000	3,570280E-11	104,188000
6,250000	3,543600E-11	104,555000
6,300000	3,517290E-11	105,576000
6,350000	3,491940E-11	106,258000
6,400000	3,468360E-11	107,026000
6,450000	3,445280E-11	107,183000
6,500000	3,423730E-11	108,119000
6,550000	3,402750E-11	108,927000
6,600000	3,382880E-11	109,661000
6,650000	3,363970E-11	109,813000
6,700000	3,345880E-11	110,740000
6,750000	3,328620E-11	111,166000
6,800000	3,312140E-11	111,685000
6,850000	3,296140E-11	111,962000
6,900000	3,281000E-11	112,774000
6,950000	3,266720E-11	112,884000
7,000000	3,252360E-11	113,549000
7,050000	3,238750E-11	113,405000
7,100000	3,225930E-11	114,224000
7,150000	3,213150E-11	114,891000
7,200000	3,201170E-11	114,765000
7,250000	3,189950E-11	115,150000
7,300000	3,178960E-11	115,300000
7,350000	3,168230E-11	115,586000
7,400000	3,158500E-11	116,506000
7,450000	3,148730E-11	116,663000
7,500000	3,139350E-11	117,147000
7,550000	3,130740E-11	118,281000
7,600000	3,121990E-11	118,013000
7,650000	3,113320E-11	117,917000
7,700000	3,105460E-11	118,689000
7,750000	3,097780E-11	118,693000
7,800000	3,090370E-11	119,446000
7,850000	3,083020E-11	118,944000
7,900000	3,076100E-11	119,062000
7,950000	3,069440E-11	119,243000
8,000000	3,063210E-11	119,501000
8,050000	3,063710E-11	119,449000
8,100000	3,056570E-11	118,804000
8,150000	3,050820E-11	119,936000
8,200000	3,044280E-11	120,313000
8,250000	3,038380E-11	120,417000
8,300000	3,033160E-11	120,965000
8,350000	3,027680E-11	120,865000
8,400000	3,022540E-11	121,126000
